Tile_1: 
λ(nm)	T
219.486	0.979559
209.51	0.97955
199.534	0.97954

Tile_15: 
λ(nm)	T
897.89	0.9779
887.901	0.9779
877.945	0.9779
867.966	0.9779
857.974	0.9779
848.034	0.9779
838.039	0.9779
828.054	0.9779
818.088	0.9779
808.095	0.9779
798.137	0.9779
788.171	0.9779
778.205	0.9779
768.202	0.9779
758.22	0.9779
748.269	0.9779
738.266	0.9779
728.313	0.9779
718.333	0.9779
708.338	0.9779
698.381	0.9779
688.394	0.9779
678.427	0.9779
668.457	0.9779
658.459	0.977899
648.484	0.977899
638.51	0.977899
628.518	0.977899
618.556	0.977899
608.576	0.977899
598.593	0.977899
588.625	0.977899
578.658	0.977899
568.683	0.977899
558.692	0.977899
548.73	0.977899
538.742	0.977899
528.771	0.977899
518.792	0.977899
508.807	0.977899
498.836	0.977898
488.861	0.977898
478.888	0.977898
468.905	0.977898
458.921	0.977898
448.945	0.977898
438.973	0.977897
429.002	0.977897
419.019	0.977897
409.044	0.977897
399.069	0.977896
389.09	0.977896
379.11	0.977895
369.133	0.977895
359.166	0.977894
349.181	0.977894
339.204	0.977893
329.229	0.977892
319.255	0.977891
309.278	0.977889
299.304	0.977888
289.322	0.977886
279.346	0.977884
269.371	0.977882
259.396	0.977879
249.418	0.977875
239.44	0.977871
229.465	0.977865
219.486	0.977858
209.51	0.97785
199.534	0.977839

Tile_16: 
λ(nm)	T
897.89	0.9834
887.901	0.9834
877.945	0.9834
867.966	0.9834
857.974	0.9834
848.034	0.9834
838.039	0.9834
828.054	0.9834
818.088	0.9834
808.095	0.9834
798.137	0.9834
788.171	0.9834
778.205	0.9834
768.202	0.9834
758.22	0.9834
748.269	0.9834
738.266	0.9834
728.313	0.9834
718.333	0.9834
708.338	0.9834
698.381	0.9834
688.394	0.9834
678.427	0.9834
668.457	0.983399
658.459	0.983399
648.484	0.983399
638.51	0.983399
628.518	0.983399
618.556	0.983399
608.576	0.983399
598.593	0.983399
588.625	0.983399
578.658	0.983399
568.683	0.983399
558.692	0.983399
548.73	0.983399
538.742	0.983399
528.771	0.983399
518.792	0.983398
508.807	0.983398
498.836	0.983398
488.861	0.983398
478.888	0.983398
468.905	0.983398
458.921	0.983398
448.945	0.983397
438.973	0.983397
429.002	0.983397
419.019	0.983397
409.044	0.983396
399.069	0.983396
389.09	0.983395
379.11	0.983395
369.133	0.983394
359.166	0.983394
349.181	0.983393
339.204	0.983392
329.229	0.983391
319.255	0.98339
309.278	0.983388
299.304	0.983387
289.322	0.983385
279.346	0.983383
269.371	0.98338
259.396	0.983376
249.418	0.983372
239.44	0.983368
229.465	0.983362
219.486	0.983354
209.51	0.983345
199.534	0.983333

Tile_17: 
λ(nm)	T
897.89	0.9818
887.901	0.9818
877.945	0.9818
867.966	0.9818
857.974	0.9818
848.034	0.9818
838.039	0.9818
828.054	0.9818
818.088	0.9818
808.095	0.9818
798.137	0.9818
788.171	0.9818
778.205	0.9818
768.202	0.9818
758.22	0.9818
748.269	0.9818
738.266	0.9818
728.313	0.9818
718.333	0.9818
708.338	0.9818
698.381	0.9818
688.394	0.9818
678.427	0.9818
668.457	0.9818
658.459	0.981799
648.484	0.981799
638.51	0.981799
628.518	0.981799
618.556	0.981799
608.576	0.981799
598.593	0.981799
588.625	0.981799
578.658	0.981799
568.683	0.981799
558.692	0.981799
548.73	0.981799
538.742	0.981799
528.771	0.981799
518.792	0.981799
508.807	0.981799
498.836	0.981798
488.861	0.981798
478.888	0.981798
468.905	0.981798
458.921	0.981798
448.945	0.981798
438.973	0.981797
429.002	0.981797
419.019	0.981797
409.044	0.981796
399.069	0.981796
389.09	0.981796
379.11	0.981795
369.133	0.981795
359.166	0.981794
349.181	0.981793
339.204	0.981792
329.229	0.981791
319.255	0.98179
309.278	0.981789
299.304	0.981787
289.322	0.981786
279.346	0.981783
269.371	0.981781
259.396	0.981778
249.418	0.981774
239.44	0.981769
229.465	0.981764
219.486	0.981757
209.51	0.981748
199.534	0.981736

Tile_18: 
λ(nm)	T
897.89	0.9832
887.901	0.9832
877.945	0.9832
867.966	0.9832
857.974	0.9832
848.034	0.9832
838.039	0.9832
828.054	0.9832
818.088	0.9832
808.095	0.9832
798.137	0.9832
788.171	0.9832
778.205	0.9832
768.202	0.9832
758.22	0.9832
748.269	0.9832
738.266	0.9832
728.313	0.9832
718.333	0.9832
708.338	0.9832
698.381	0.9832
688.394	0.9832
678.427	0.9832
668.457	0.9832
658.459	0.983199
648.484	0.983199
638.51	0.983199
628.518	0.983199
618.556	0.983199
608.576	0.983199
598.593	0.983199
588.625	0.983199
578.658	0.983199
568.683	0.983199
558.692	0.983199
548.73	0.983199
538.742	0.983199
528.771	0.983199
518.792	0.983199
508.807	0.983199
498.836	0.983198
488.861	0.983198
478.888	0.983198
468.905	0.983198
458.921	0.983198
448.945	0.983198
438.973	0.983197
429.002	0.983197
419.019	0.983197
409.044	0.983196
399.069	0.983196
389.09	0.983196
379.11	0.983195
369.133	0.983195
359.166	0.983194
349.181	0.983193
339.204	0.983193
329.229	0.983192
319.255	0.983191
309.278	0.983189
299.304	0.983188
289.322	0.983186
279.346	0.983184
269.371	0.983181
259.396	0.983178
249.418	0.983175
239.44	0.98317
229.465	0.983165
219.486	0.983158
209.51	0.983149
199.534	0.983138

Tile_19: 
λ(nm)	T
897.89	0.977
887.901	0.977
877.945	0.977
867.966	0.977
857.974	0.977
848.034	0.977
838.039	0.977
828.054	0.977
818.088	0.977
808.095	0.977
798.137	0.977
788.171	0.977
778.205	0.977
768.202	0.977
758.22	0.977
748.269	0.977
738.266	0.977
728.313	0.977
718.333	0.977
708.338	0.977
698.381	0.977
688.394	0.977
678.427	0.977
668.457	0.977
658.459	0.977
648.484	0.976999
638.51	0.976999
628.518	0.976999
618.556	0.976999
608.576	0.976999
598.593	0.976999
588.625	0.976999
578.658	0.976999
568.683	0.976999
558.692	0.976999
548.73	0.976999
538.742	0.976999
528.771	0.976999
518.792	0.976999
508.807	0.976999
498.836	0.976998
488.861	0.976998
478.888	0.976998
468.905	0.976998
458.921	0.976998
448.945	0.976998
438.973	0.976997
429.002	0.976997
419.019	0.976997
409.044	0.976997
399.069	0.976996
389.09	0.976996
379.11	0.976995
369.133	0.976995
359.166	0.976994
349.181	0.976994
339.204	0.976993
329.229	0.976992
319.255	0.976991
309.278	0.97699
299.304	0.976988
289.322	0.976986
279.346	0.976984
269.371	0.976982
259.396	0.976979
249.418	0.976975
239.44	0.976971
229.465	0.976966
219.486	0.976959
209.51	0.976951
199.534	0.97694

Tile_20: 
λ(nm)	T
897.89	0.981
887.901	0.981
877.945	0.981
867.966	0.981
857.974	0.981
848.034	0.981
838.039	0.981
828.054	0.981
818.088	0.981
808.095	0.981
798.137	0.981
788.171	0.981
778.205	0.981
768.202	0.981
758.22	0.981
748.269	0.981
738.266	0.981
728.313	0.981
718.333	0.981
708.338	0.981
698.381	0.981
688.394	0.981
678.427	0.981
668.457	0.981
658.459	0.981
648.484	0.980999
638.51	0.980999
628.518	0.980999
618.556	0.980999
608.576	0.980999
598.593	0.980999
588.625	0.980999
578.658	0.980999
568.683	0.980999
558.692	0.980999
548.73	0.980999
538.742	0.980999
528.771	0.980999
518.792	0.980999
508.807	0.980999
498.836	0.980998
488.861	0.980998
478.888	0.980998
468.905	0.980998
458.921	0.980998
448.945	0.980998
438.973	0.980997
429.002	0.980997
419.019	0.980997
409.044	0.980997
399.069	0.980996
389.09	0.980996
379.11	0.980995
369.133	0.980995
359.166	0.980994
349.181	0.980994
339.204	0.980993
329.229	0.980992
319.255	0.980991
309.278	0.98099
299.304	0.980988
289.322	0.980987
279.346	0.980984
269.371	0.980982
259.396	0.980979
249.418	0.980976
239.44	0.980971
229.465	0.980966
219.486	0.980959
209.51	0.980951
199.534	0.98094

Tile_21: 
λ(nm)	T
897.89	0.9879
887.901	0.9879
877.945	0.9879
867.966	0.9879
857.974	0.9879
848.034	0.9879
838.039	0.9879
828.054	0.9879
818.088	0.9879
808.095	0.9879
798.137	0.9879
788.171	0.9879
778.205	0.9879
768.202	0.9879
758.22	0.9879
748.269	0.9879
738.266	0.9879
728.313	0.9879
718.333	0.9879
708.338	0.9879
698.381	0.9879
688.394	0.9879
678.427	0.9879
668.457	0.9879
658.459	0.987899
648.484	0.987899
638.51	0.987899
628.518	0.987899
618.556	0.987899
608.576	0.987899
598.593	0.987899
588.625	0.987899
578.658	0.987899
568.683	0.987899
558.692	0.987899
548.73	0.987899
538.742	0.987899
528.771	0.987899
518.792	0.987899
508.807	0.987899
498.836	0.987898
488.861	0.987898
478.888	0.987898
468.905	0.987898
458.921	0.987898
448.945	0.987898
438.973	0.987897
429.002	0.987897
419.019	0.987897
409.044	0.987897
399.069	0.987896
389.09	0.987896
379.11	0.987895
369.133	0.987895
359.166	0.987894
349.181	0.987893
339.204	0.987893
329.229	0.987892
319.255	0.987891
309.278	0.987889
299.304	0.987888
289.322	0.987886
279.346	0.987884
269.371	0.987881
259.396	0.987878
249.418	0.987875
239.44	0.98787
229.465	0.987864
219.486	0.987857
209.51	0.987849
199.534	0.987838

Tile_22: 
λ(nm)	T
897.89	0.9859
887.901	0.9859
877.945	0.9859
867.966	0.9859
857.974	0.9859
848.034	0.9859
838.039	0.9859
828.054	0.9859
818.088	0.9859
808.095	0.9859
798.137	0.9859
788.171	0.9859
778.205	0.9859
768.202	0.9859
758.22	0.9859
748.269	0.9859
738.266	0.9859
728.313	0.9859
718.333	0.9859
708.338	0.9859
698.381	0.9859
